Altium Designer Pick and Place Locations
C:\Dott\LIDO\lido-hardware\LIDO_HW_2022_04_V01\Output Documents\04_Fabrication_Files\PickAndPlace\LIDO_V03_DEVELOPMENT_04_07_2022.txt

========================================================================================================================
File Design Information:

Date:       02/07/22
Time:       21:35
Revision:   872b464fc55dbc7c29d34195fc9c3aeae9c73039
Variant:    DEVELOPMENT
Units used: mm

Designator Layer       Footprint                                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                               "Manufacturer Part Number"         Manufacturer                        
R206       BottomLayer RES_0603_1608X60-N_YAGEO_A                    14.0000      27.6250      90       "RES 4.7K OHM 5% 1/10W 0603"                                                                              RC0603JR-074K7L                    YAGEO                               
R205       BottomLayer RES_0603_1608X60-N_YAGEO_A                    12.2500      27.6250      90       "RES 4.7K OHM 5% 1/10W 0603"                                                                              RC0603JR-074K7L                    YAGEO                               
R204       TopLayer    RES_0402_1005X40-N_YAGEO_A                    15.9997      10.2000      270      "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R203       BottomLayer RES_0402_1005X40-N_YAGEO_A                    10.8997      10.3500      90       "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R202       BottomLayer RES_0402_1005X40-N_YAGEO_A                    12.9000      10.3500      90       "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                         ERJ-2GE0R00X                       "Panasonic Electronic Components"   
R201       TopLayer    RES_0603_1608X60-N_YAGEO_A                    32.8000      15.7000      180      "RES 4.7K OHM 5% 1/10W 0603"                                                                              RC0603JR-074K7L                    YAGEO                               
R200       TopLayer    RES_0603_1608X60-N_YAGEO_A                    31.6000      14.2000      0        "RES 4.7K OHM 5% 1/10W 0603"                                                                              RC0603JR-074K7L                    YAGEO                               
R170       BottomLayer RES_0603_1608X60-N_YAGEO_A                    55.7747      26.8500      270      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R167       TopLayer    RES_0603_1608X60-N_YAGEO_A                    30.5000      18.9000      0        "RES 33 OHM 5% 1/10W 0603"                                                                                RC0603JR-0733RL                    YAGEO                               
R166       TopLayer    RES_0603_1608X60-N_YAGEO_A                    50.2000      17.5000      270      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R165       BottomLayer RES_0603_1608X60-N_YAGEO_A                    16.4000      27.6000      90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R164       TopLayer    RES_0603_1608X60-N_YAGEO_A                    45.6000      15.9000      270      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
